Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S37595260,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-14,08:34 AM,eBird - Traveling Count,39,1,1.609,,2
S37595304,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-14,02:32 PM,IBA Canada (protocol),115,1,2.414,,2
S37650742,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-17,08:58 AM,IBA Canada (protocol),34,1,1.609,,3
S37650784,Canada Goose,Branta canadensis,297,30,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-17,01:48 PM,IBA Canada (protocol),166,1,3.219,,3,NE Nest with Eggs
S37805223,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-25,02:49 PM,IBA Canada (protocol),136,1,3.219,,3
S37860110,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-06-28,03:18 PM,IBA Canada (protocol),170,1,1.609,,2,FL Recently Fledged Young
S38289945,Canada Goose,Branta canadensis,297,60,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-07-20,03:05 PM,IBA Canada (protocol),95,1,1.609,,2,FL Recently Fledged Young
S38353077,Canada Goose,Branta canadensis,297,1,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-07-26,11:53 AM,IBA Canada (protocol),44,1,1.609,,2
S38367412,Canada Goose,Branta canadensis,297,10,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-07-28,10:19 AM,IBA Canada (protocol),166,1,1.609,,2
S37515504,Canada Goose,Branta canadensis,297,100,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-10,10:04 AM,IBA Canada (protocol),172,1,4.828,,2
S37595351,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-14,09:24 AM,IBA Canada (protocol),252,1,4.828,,2
S37650856,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-17,09:32 AM,IBA Canada (protocol),213,1,3.219,,3,NE Nest with Eggs
S37765223,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-21,09:45 AM,IBA Canada (protocol),410,1,9.656,,3,NE Nest with Eggs
