common,scientific,order,family
Black-throated Tit (Red-headed),Aegithalos concinnus iredalei,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-throated Tit (Gray-crowned),Aegithalos concinnus annamensis,Passeriformes,Aegithalidae (Long-tailed Tits)
White-throated Tit,Aegithalos niveogularis,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-browed Tit,Aegithalos iouschistos,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-browed Tit (Rufous-fronted),Aegithalos iouschistos iouschistos,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-browed Tit (Burmese),Aegithalos iouschistos sharpei,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-browed Tit (Black-browed),Aegithalos iouschistos bonvaloti/obscuratus,Passeriformes,Aegithalidae (Long-tailed Tits)
Sooty Tit,Aegithalos fuliginosus,Passeriformes,Aegithalidae (Long-tailed Tits)
Bushtit,Psaltriparus minimus,Passeriformes,Aegithalidae (Long-tailed Tits)
Bushtit (Pacific),Psaltriparus minimus [minimus Group],Passeriformes,Aegithalidae (Long-tailed Tits)
Bushtit (Interior),Psaltriparus minimus plumbeus,Passeriformes,Aegithalidae (Long-tailed Tits)
Bushtit (melanotis Group),Psaltriparus minimus [melanotis Group],Passeriformes,Aegithalidae (Long-tailed Tits)
Pygmy Tit,Psaltria exilis,Passeriformes,Aegithalidae (Long-tailed Tits)
Indian Nuthatch,Sitta castanea,Passeriformes,Sittidae (Nuthatches)
Chestnut-bellied Nuthatch,Sitta cinnamoventris,Passeriformes,Sittidae (Nuthatches)
Indian/Chestnut-bellied Nuthatch,Sitta castanea/cinnamoventris,Passeriformes,Sittidae (Nuthatches)
Burmese Nuthatch,Sitta neglecta,Passeriformes,Sittidae (Nuthatches)
Eurasian Nuthatch,Sitta europaea,Passeriformes,Sittidae (Nuthatches)
Eurasian Nuthatch (Eurasian),Sitta europaea [europaea Group],Passeriformes,Sittidae (Nuthatches)
Eurasian Nuthatch (Siberian),Sitta europaea arctica,Passeriformes,Sittidae (Nuthatches)
Chestnut-vented Nuthatch,Sitta nagaensis,Passeriformes,Sittidae (Nuthatches)
Kashmir Nuthatch,Sitta cashmirensis,Passeriformes,Sittidae (Nuthatches)
White-tailed Nuthatch,Sitta himalayensis,Passeriformes,Sittidae (Nuthatches)
White-browed Nuthatch,Sitta victoriae,Passeriformes,Sittidae (Nuthatches)
Red-breasted Nuthatch,Sitta canadensis,Passeriformes,Sittidae (Nuthatches)
White-cheeked Nuthatch,Sitta leucopsis,Passeriformes,Sittidae (Nuthatches)
Przevalski's Nuthatch,Sitta przewalskii,Passeriformes,Sittidae (Nuthatches)
White-breasted Nuthatch,Sitta carolinensis,Passeriformes,Sittidae (Nuthatches)
White-breasted Nuthatch (Eastern),Sitta carolinensis carolinensis,Passeriformes,Sittidae (Nuthatches)
White-breasted Nuthatch (Interior West),Sitta carolinensis [lagunae Group],Passeriformes,Sittidae (Nuthatches)
White-breasted Nuthatch (Pacific),Sitta carolinensis aculeata/alexandrae,Passeriformes,Sittidae (Nuthatches)
Pygmy Nuthatch,Sitta pygmaea,Passeriformes,Sittidae (Nuthatches)
Brown-headed Nuthatch,Sitta pusilla,Passeriformes,Sittidae (Nuthatches)
Brown-headed Nuthatch (Southeast),Sitta pusilla pusilla,Passeriformes,Sittidae (Nuthatches)
Brown-headed Nuthatch (Grand Bahama),Sitta pusilla insularis,Passeriformes,Sittidae (Nuthatches)
Corsican Nuthatch,Sitta whiteheadi,Passeriformes,Sittidae (Nuthatches)
Algerian Nuthatch,Sitta ledanti,Passeriformes,Sittidae (Nuthatches)
Krüper's Nuthatch,Sitta krueperi,Passeriformes,Sittidae (Nuthatches)
Snowy-browed Nuthatch,Sitta villosa,Passeriformes,Sittidae (Nuthatches)
Yunnan Nuthatch,Sitta yunnanensis,Passeriformes,Sittidae (Nuthatches)
Western Rock Nuthatch,Sitta neumayer,Passeriformes,Sittidae (Nuthatches)
Eastern Rock Nuthatch,Sitta tephronota,Passeriformes,Sittidae (Nuthatches)
Rock/Persian Nuthatch,Sitta neumayer/tephronota,Passeriformes,Sittidae (Nuthatches)
Velvet-fronted Nuthatch,Sitta frontalis,Passeriformes,Sittidae (Nuthatches)
Yellow-billed Nuthatch,Sitta solangiae,Passeriformes,Sittidae (Nuthatches)
Velvet-fronted/Yellow-billed Nuthatch,Sitta frontalis/solangiae,Passeriformes,Sittidae (Nuthatches)
Sulphur-billed Nuthatch,Sitta oenochlamys,Passeriformes,Sittidae (Nuthatches)
Blue Nuthatch,Sitta azurea,Passeriformes,Sittidae (Nuthatches)
Giant Nuthatch,Sitta magna,Passeriformes,Sittidae (Nuthatches)
Beautiful Nuthatch,Sitta formosa,Passeriformes,Sittidae (Nuthatches)
nuthatch sp.,Sitta sp.,Passeriformes,Sittidae (Nuthatches)
Wallcreeper,Tichodroma muraria,Passeriformes,Tichodromidae (Wallcreeper)
Eurasian Treecreeper,Certhia familiaris,Passeriformes,Certhiidae (Treecreepers)
Hodgson's Treecreeper,Certhia hodgsoni,Passeriformes,Certhiidae (Treecreepers)
Sichuan Treecreeper,Certhia tianquanensis,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper,Certhia americana,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (occidentalis Group),Certhia americana [occidentalis Group],Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (montana/idahoensis),Certhia americana montana/idahoensis,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (americana/nigrescens),Certhia americana americana/nigrescens,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (albescens/alticola),Certhia americana albescens/alticola,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (pernigra),Certhia americana pernigra,Passeriformes,Certhiidae (Treecreepers)
Brown Creeper (extima),Certhia americana extima,Passeriformes,Certhiidae (Treecreepers)
Short-toed Treecreeper,Certhia brachydactyla,Passeriformes,Certhiidae (Treecreepers)
Eurasian/Short-toed Treecreeper,Certhia familiaris/brachydactyla,Passeriformes,Certhiidae (Treecreepers)
Bar-tailed Treecreeper,Certhia himalayana,Passeriformes,Certhiidae (Treecreepers)
Rusty-flanked Treecreeper,Certhia nipalensis,Passeriformes,Certhiidae (Treecreepers)
Sikkim Treecreeper,Certhia discolor,Passeriformes,Certhiidae (Treecreepers)
Hume's Treecreeper,Certhia manipurensis,Passeriformes,Certhiidae (Treecreepers)
treecreeper sp.,Certhia sp.,Passeriformes,Certhiidae (Treecreepers)
African Spotted-Creeper,Salpornis salvadori,Passeriformes,Certhiidae (Treecreepers)
Indian Spotted-Creeper,Salpornis spilonotus,Passeriformes,Certhiidae (Treecreepers)
Rock Wren,Salpinctes obsoletus,Passeriformes,Troglodytidae (Wrens)
Rock Wren (Northern),Salpinctes obsoletus [obsoletus Group],Passeriformes,Troglodytidae (Wrens)
Rock Wren (Central American),Salpinctes obsoletus [guttatus Group],Passeriformes,Troglodytidae (Wrens)
Nightingale Wren,Microcerculus philomela,Passeriformes,Troglodytidae (Wrens)
Scaly-breasted Wren,Microcerculus marginatus,Passeriformes,Troglodytidae (Wrens)
Scaly-breasted Wren (Whistling),Microcerculus marginatus luscinia,Passeriformes,Troglodytidae (Wrens)
Scaly-breasted Wren (Scaly),Microcerculus marginatus taeniatus/occidentalis,Passeriformes,Troglodytidae (Wrens)
Scaly-breasted Wren (Southern),Microcerculus marginatus [marginatus Group],Passeriformes,Troglodytidae (Wrens)
Flutist Wren,Microcerculus ustulatus,Passeriformes,Troglodytidae (Wrens)
Wing-banded Wren,Microcerculus bambla,Passeriformes,Troglodytidae (Wrens)
Gray-mantled Wren,Odontorchilus branickii,Passeriformes,Troglodytidae (Wrens)
Tooth-billed Wren,Odontorchilus cinereus,Passeriformes,Troglodytidae (Wrens)
Canyon Wren,Catherpes mexicanus,Passeriformes,Troglodytidae (Wrens)
Sumichrast's Wren,Hylorchilus sumichrasti,Passeriformes,Troglodytidae (Wrens)
Nava's Wren,Hylorchilus navai,Passeriformes,Troglodytidae (Wrens)
Zapata Wren,Ferminia cerverai,Passeriformes,Troglodytidae (Wrens)
House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens)
House Wren (Northern),Troglodytes aedon [aedon Group],Passeriformes,Troglodytidae (Wrens)
House Wren (Dominica),Troglodytes aedon rufescens,Passeriformes,Troglodytidae (Wrens)
House Wren (Martinique),Troglodytes aedon martinicensis,Passeriformes,Troglodytidae (Wrens)
House Wren (St. Lucia),Troglodytes aedon mesoleucus,Passeriformes,Troglodytidae (Wrens)
House Wren (Guadeloupe),Troglodytes aedon guadeloupensis,Passeriformes,Troglodytidae (Wrens)
House Wren (St. Vincent),Troglodytes aedon musicus,Passeriformes,Troglodytidae (Wrens)
House Wren (Grenada),Troglodytes aedon grenadensis,Passeriformes,Troglodytidae (Wrens)
House Wren (Cozumel I.),Troglodytes aedon beani,Passeriformes,Troglodytidae (Wrens)
House Wren (Brown-throated),Troglodytes aedon [brunneicollis Group],Passeriformes,Troglodytidae (Wrens)
House Wren (Southern),Troglodytes aedon [musculus Group],Passeriformes,Troglodytidae (Wrens)
Cobb's Wren,Troglodytes cobbi,Passeriformes,Troglodytidae (Wrens)
Socorro Wren,Troglodytes sissonii,Passeriformes,Troglodytidae (Wrens)
Clarion Wren,Troglodytes tanneri,Passeriformes,Troglodytidae (Wrens)
Rufous-browed Wren,Troglodytes rufociliatus,Passeriformes,Troglodytidae (Wrens)
Ochraceous Wren,Troglodytes ochraceus,Passeriformes,Troglodytidae (Wrens)
Mountain Wren,Troglodytes solstitialis,Passeriformes,Troglodytidae (Wrens)
Santa Marta Wren,Troglodytes monticola,Passeriformes,Troglodytidae (Wrens)
Tepui Wren,Troglodytes rufulus,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren,Troglodytes troglodytes,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Iceland),Troglodytes troglodytes islandicus,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Faeroe),Troglodytes troglodytes borealis,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Shetland),Troglodytes troglodytes zetlandicus,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Hebridean),Troglodytes troglodytes hebridensis,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Fair Isle),Troglodytes troglodytes fridariensis,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (St. Kilda),Troglodytes troglodytes hirtensis,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (British),Troglodytes troglodytes indigenus,Passeriformes,Troglodytidae (Wrens)
Eurasian Wren (Eurasian),Troglodytes troglodytes [troglodytes Group],Passeriformes,Troglodytidae (Wrens)
Pacific Wren,Troglodytes pacificus,Passeriformes,Troglodytidae (Wrens)
Pacific Wren (alascensis Group),Troglodytes pacificus [alascensis Group],Passeriformes,Troglodytidae (Wrens)
Pacific Wren (pacificus Group),Troglodytes pacificus [pacificus Group],Passeriformes,Troglodytidae (Wrens)
Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae (Wrens)
Pacific/Winter Wren,Troglodytes pacificus/hiemalis,Passeriformes,Troglodytidae (Wrens)
Timberline Wren,Thryorchilus browni,Passeriformes,Troglodytidae (Wrens)
Sedge Wren,Cistothorus platensis,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Sedge),Cistothorus platensis stellaris,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Grass),Cistothorus platensis [elegans Group],Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Venezuelan),Cistothorus platensis alticola,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Paramo),Cistothorus platensis aequatorialis,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Junin),Cistothorus platensis graminicola,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Puna),Cistothorus platensis minimus,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Tucuman),Cistothorus platensis tucumanus,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Pampas),Cistothorus platensis platensis/polyglottus,Passeriformes,Troglodytidae (Wrens)
Sedge Wren (Austral),Cistothorus platensis hornensis/falklandicus,Passeriformes,Troglodytidae (Wrens)
Merida Wren,Cistothorus meridae,Passeriformes,Troglodytidae (Wrens)
Apolinar's Wren,Cistothorus apolinari,Passeriformes,Troglodytidae (Wrens)
Marsh Wren,Cistothorus palustris,Passeriformes,Troglodytidae (Wrens)
Marsh Wren (paludicola Group),Cistothorus palustris [paludicola Group],Passeriformes,Troglodytidae (Wrens)
Marsh Wren (plesius Group),Cistothorus palustris [plesius Group],Passeriformes,Troglodytidae (Wrens)
Marsh Wren (palustris Group),Cistothorus palustris [palustris Group],Passeriformes,Troglodytidae (Wrens)
Marsh Wren (griseus),Cistothorus palustris griseus,Passeriformes,Troglodytidae (Wrens)
Marsh Wren (tolucensis),Cistothorus palustris tolucensis,Passeriformes,Troglodytidae (Wrens)
Sedge/Marsh Wren,Cistothorus platensis/palustris,Passeriformes,Troglodytidae (Wrens)
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens)
Carolina Wren (Northern),Thryothorus ludovicianus [ludovicianus Group],Passeriformes,Troglodytidae (Wrens)
Carolina Wren (Northeast Mexico/South Texas),Thryothorus ludovicianus [berlandieri Group],Passeriformes,Troglodytidae (Wrens)
Carolina Wren (White-browed),Thryothorus ludovicianus albinucha/subfulvus,Passeriformes,Troglodytidae (Wrens)
Bewick's Wren,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens)
Bewick's Wren (bewickii),Thryomanes bewickii bewickii,Passeriformes,Troglodytidae (Wrens)
Bewick's Wren (mexicanus Group),Thryomanes bewickii [mexicanus Group],Passeriformes,Troglodytidae (Wrens)
Bewick's Wren (spilurus Group),Thryomanes bewickii [spilurus Group],Passeriformes,Troglodytidae (Wrens)
White-headed Wren,Campylorhynchus albobrunneus,Passeriformes,Troglodytidae (Wrens)
Band-backed Wren,Campylorhynchus zonatus,Passeriformes,Troglodytidae (Wrens)
Gray-barred Wren,Campylorhynchus megalopterus,Passeriformes,Troglodytidae (Wrens)
Giant Wren,Campylorhynchus chiapensis,Passeriformes,Troglodytidae (Wrens)
Rufous-naped Wren,Campylorhynchus rufinucha,Passeriformes,Troglodytidae (Wrens)
Rufous-naped Wren (Sclater's),Campylorhynchus rufinucha humilis,Passeriformes,Troglodytidae (Wrens)
Rufous-naped Wren (Veracruz),Campylorhynchus rufinucha rufinucha,Passeriformes,Troglodytidae (Wrens)
Rufous-naped Wren (Rufous-backed),Campylorhynchus rufinucha [capistratus Group],Passeriformes,Troglodytidae (Wrens)
Spotted Wren,Campylorhynchus gularis,Passeriformes,Troglodytidae (Wrens)
Boucard's Wren,Campylorhynchus jocosus,Passeriformes,Troglodytidae (Wrens)
Yucatan Wren,Campylorhynchus yucatanicus,Passeriformes,Troglodytidae (Wrens)
Cactus Wren,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae (Wrens)
Cactus Wren (brunneicapillus Group),Campylorhynchus brunneicapillus [brunneicapillus Group],Passeriformes,Troglodytidae (Wrens)
Cactus Wren (affinis Group),Campylorhynchus brunneicapillus [affinis Group],Passeriformes,Troglodytidae (Wrens)
Stripe-backed Wren,Campylorhynchus nuchalis,Passeriformes,Troglodytidae (Wrens)
Fasciated Wren,Campylorhynchus fasciatus,Passeriformes,Troglodytidae (Wrens)
Bicolored Wren,Campylorhynchus griseus,Passeriformes,Troglodytidae (Wrens)
Thrush-like Wren,Campylorhynchus turdinus,Passeriformes,Troglodytidae (Wrens)
Sooty-headed Wren,Pheugopedius spadix,Passeriformes,Troglodytidae (Wrens)
Black-bellied Wren,Pheugopedius fasciatoventris,Passeriformes,Troglodytidae (Wrens)
Plain-tailed Wren,Pheugopedius euophrys,Passeriformes,Troglodytidae (Wrens)
Plain-tailed Wren (Plain-tailed),Pheugopedius euophrys [euophrys Group],Passeriformes,Troglodytidae (Wrens)
Plain-tailed Wren (Gray-browed),Pheugopedius euophrys schulenbergi,Passeriformes,Troglodytidae (Wrens)
Mantaro Wren (undescribed form),Pheugopedius [undescribed form],Passeriformes,Troglodytidae (Wrens)
Inca Wren,Pheugopedius eisenmanni,Passeriformes,Troglodytidae (Wrens)
Whiskered Wren,Pheugopedius mystacalis,Passeriformes,Troglodytidae (Wrens)
Moustached Wren,Pheugopedius genibarbis,Passeriformes,Troglodytidae (Wrens)
Coraya Wren,Pheugopedius coraya,Passeriformes,Troglodytidae (Wrens)
Moustached/Coraya Wren,Pheugopedius genibarbis/coraya,Passeriformes,Troglodytidae (Wrens)
Rufous-breasted Wren,Pheugopedius rutilus,Passeriformes,Troglodytidae (Wrens)
Spot-breasted Wren,Pheugopedius maculipectus,Passeriformes,Troglodytidae (Wrens)
Speckle-breasted Wren,Pheugopedius sclateri,Passeriformes,Troglodytidae (Wrens)
Speckle-breasted Wren (Colombian),Pheugopedius sclateri columbianus,Passeriformes,Troglodytidae (Wrens)
Speckle-breasted Wren (Speckle-breasted),Pheugopedius sclateri paucimaculatus,Passeriformes,Troglodytidae (Wrens)
Speckle-breasted Wren (Marañon),Pheugopedius sclateri sclateri,Passeriformes,Troglodytidae (Wrens)
Happy Wren,Pheugopedius felix,Passeriformes,Troglodytidae (Wrens)
Black-throated Wren,Pheugopedius atrogularis,Passeriformes,Troglodytidae (Wrens)
Pheugopedius sp.,Pheugopedius sp.,Passeriformes,Troglodytidae (Wrens)
Sinaloa Wren,Thryophilus sinaloa,Passeriformes,Troglodytidae (Wrens)
Banded Wren,Thryophilus pleurostictus,Passeriformes,Troglodytidae (Wrens)
Rufous-and-white Wren,Thryophilus rufalbus,Passeriformes,Troglodytidae (Wrens)
Antioquia Wren,Thryophilus sernai,Passeriformes,Troglodytidae (Wrens)
Niceforo's Wren,Thryophilus nicefori,Passeriformes,Troglodytidae (Wrens)
Stripe-breasted Wren,Cantorchilus thoracicus,Passeriformes,Troglodytidae (Wrens)
Stripe-throated Wren,Cantorchilus leucopogon,Passeriformes,Troglodytidae (Wrens)
Cabanis's Wren,Cantorchilus modestus,Passeriformes,Troglodytidae (Wrens)
Canebrake Wren,Cantorchilus zeledoni,Passeriformes,Troglodytidae (Wrens)
Cabanis's/Canebrake Wren,Cantorchilus modestus/zeledoni,Passeriformes,Troglodytidae (Wrens)
Isthmian Wren,Cantorchilus elutus,Passeriformes,Troglodytidae (Wrens)
Cabanis's/Isthmian Wren,Cantorchilus modestus/elutus,Passeriformes,Troglodytidae (Wrens)
Riverside Wren,Cantorchilus semibadius,Passeriformes,Troglodytidae (Wrens)
Bay Wren,Cantorchilus nigricapillus,Passeriformes,Troglodytidae (Wrens)
Bay Wren (Central American),Cantorchilus nigricapillus [castaneus Group],Passeriformes,Troglodytidae (Wrens)
Bay Wren (South American),Cantorchilus nigricapillus nigricapillus/connectens,Passeriformes,Troglodytidae (Wrens)
Superciliated Wren,Cantorchilus superciliaris,Passeriformes,Troglodytidae (Wrens)
Buff-breasted Wren,Cantorchilus leucotis,Passeriformes,Troglodytidae (Wrens)
Long-billed Wren,Cantorchilus longirostris,Passeriformes,Troglodytidae (Wrens)
Fawn-breasted Wren,Cantorchilus guarayanus,Passeriformes,Troglodytidae (Wrens)
Gray Wren,Cantorchilus griseus,Passeriformes,Troglodytidae (Wrens)
Cantorchilus sp.,Cantorchilus sp.,Passeriformes,Troglodytidae (Wrens)
Rufous Wren,Cinnycerthia unirufa,Passeriformes,Troglodytidae (Wrens)
Sharpe's Wren,Cinnycerthia olivascens,Passeriformes,Troglodytidae (Wrens)
Peruvian Wren,Cinnycerthia peruana,Passeriformes,Troglodytidae (Wrens)
Fulvous Wren,Cinnycerthia fulva,Passeriformes,Troglodytidae (Wrens)
Cinnycerthia sp.,Cinnycerthia sp.,Passeriformes,Troglodytidae (Wrens)
White-bellied Wren,Uropsila leucogastra,Passeriformes,Troglodytidae (Wrens)
White-bellied Wren (Middle America),Uropsila leucogastra [leucogastra Group],Passeriformes,Troglodytidae (Wrens)
White-bellied Wren (West Mexico),Uropsila leucogastra pacifica,Passeriformes,Troglodytidae (Wrens)
White-breasted Wood-Wren,Henicorhina leucosticta,Passeriformes,Troglodytidae (Wrens)
White-breasted Wood-Wren (Sclater's),Henicorhina leucosticta [prostheleuca Group],Passeriformes,Troglodytidae (Wrens)
White-breasted Wood-Wren (Cherrie's),Henicorhina leucosticta pittieri/costaricensis,Passeriformes,Troglodytidae (Wrens)
White-breasted Wood-Wren (Choco),Henicorhina leucosticta inornata/eucharis,Passeriformes,Troglodytidae (Wrens)
White-breasted Wood-Wren (Black-capped),Henicorhina leucosticta [leucosticta Group],Passeriformes,Troglodytidae (Wrens)
Bar-winged Wood-Wren,Henicorhina leucoptera,Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren,Henicorhina leucophrys,Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren (Central American),Henicorhina leucophrys [mexicana Group],Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren (Choco),Henicorhina leucophrys brunneiceps,Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren (bangsi),Henicorhina leucophrys bangsi,Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren (Perija),Henicorhina leucophrys manastarae,Passeriformes,Troglodytidae (Wrens)
Gray-breasted Wood-Wren (meridana),Henicorhina leucophrys meridana,Passeriformes,Troglodytidae (Wrens)
